buss_id,loc_id,r1_number,r1_number_parent,parent_loc_name,zip_name,zipcode,city,state,country,phone_no,lat,lng,page_content
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29048,EUTAWVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29059,"HOLLY HILL"," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29142,SANTEE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29163,VANCE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29436,CROSS," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29437,DORCHESTER," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29445,"GOOSE CREEK"," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29448,HARLEYVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29456,LADSON," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29468,PINEVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29469,PINOPOLIS," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29472,RIDGEVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29483,SUMMERVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29484,SUMMERVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29485,SUMMERVILLE," SC",,,,,
50,19692,1191,1113,"Restoration 1 of Greater Charleston","RESTORATION 1 SERVING SC SC",29486,SUMMERVILLE," SC",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68007,BENNINGTON," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68010,"BOYS TOWN"," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68022,ELKHORN," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68064,VALLEY," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68069,WATERLOO," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68101,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68102,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68103,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68104,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68105,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68106,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68108,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68109,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68110,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68111,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68112,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68114,OMAHA," NE",,,,,
50,19773,1081,1081,"	Restoration 1 of Omaha","RESTORATION 1 SERVING NE NE",68116,OMAHA," NE",,,,,
